REGION,YEAR,WEEK,%UNWEIGHTED ILI,ILITOTAL
Colorado,2010,49,0.809504,154
Connecticut,2010,49,0.654897,23
Delaware,2010,49,0.361156,9
District of Columbia,2010,49,3.26052,100
Florida,2010,49,X,X
Georgia,2010,49,4.48962,1685
Hawaii,2010,49,2.42215,42
Idaho,2010,49,1.72267,81
Illinois,2010,49,1.85288,732
Indiana,2010,49,0.949958,112
Iowa,2010,49,0.954329,28
Kansas,2010,49,0.828437,86
Kentucky,2010,49,0.598723,90
Louisiana,2010,49,2.80486,492
Maine,2010,49,0.435219,26
Maryland,2010,49,1.55109,153
Massachusetts,2010,49,0.96749,272
Michigan,2010,49,0.563399,85
Minnesota,2010,49,0.584334,37
Mississippi,2010,49,5.33836,878
Missouri,2010,49,1.37036,113
Montana,2010,49,0.0359454,1
Nebraska,2010,49,2.46212,91
Nevada,2010,49,3.28279,394
New Hampshire,2010,49,0.247015,12
New Jersey,2010,49,2.65371,183
New Mexico,2010,49,2.32423,200
New York,2010,49,2.1629,303
North Carolina,2010,49,0.613611,132
North Dakota,2010,49,0.23753,11
Ohio,2010,49,0.342466,55
Oklahoma,2010,49,2.33623,51
Oregon,2010,49,0.980101,33
Pennsylvania,2010,49,1.22407,203
Rhode Island,2010,49,0.635497,42
South Carolina,2010,49,0.484707,29
South Dakota,2010,49,1.16321,64
Tennessee,2010,49,1.10577,122
Texas,2010,49,2.40335,1165
Utah,2010,49,1.16492,89
Vermont,2010,49,1.15663,48
Virginia,2010,49,1.69937,982
Washington,2010,49,0.96463,33
West Virginia,2010,49,1.58682,158
Wisconsin,2010,49,1.27947,70
Wyoming,2010,49,0.418323,20
New York City,2010,49,2.73001,2524
Alabama,2010,50,10.4359,1245
Alaska,2010,50,1.05581,21
Arizona,2010,50,2.01836,488
Arkansas,2010,50,2.10551,89
California,2010,50,3.6598,1170
Colorado,2010,50,0.901601,174
Connecticut,2010,50,0.659413,20
Delaware,2010,50,0.293902,12
District of Columbia,2010,50,4.33125,125
Florida,2010,50,X,X
Georgia,2010,50,6.30401,2254
Hawaii,2010,50,2.51225,41
Idaho,2010,50,1.36502,54
Illinois,2010,50,2.05097,775
Indiana,2010,50,0.964187,98
Iowa,2010,50,1.49854,41
Kansas,2010,50,0.8626,84
Kentucky,2010,50,0.629651,77
Louisiana,2010,50,3.37939,450
Maine,2010,50,0.341472,20
Maryland,2010,50,2.00849,175
Massachusetts,2010,50,1.12005,316
Michigan,2010,50,0.755685,106
Minnesota,2010,50,1.16119,59
Mississippi,2010,50,8.81573,1529
Missouri,2010,50,1.41003,126
Montana,2010,50,0.0772798,2
Nebraska,2010,50,3.2371,111
Nevada,2010,50,4.28725,440
New Hampshire,2010,50,0.070922,4
New Jersey,2010,50,3.20073,210
New Mexico,2010,50,2.72335,221
New York,2010,50,2.68099,357
North Carolina,2010,50,0.628731,119
North Dakota,2010,50,0.317628,6
